Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Perubahan%
1/1/2018,13567.5,13567.5,13567.5,13567.5,0.00%
2/1/2018,13517.5,13537.5,13555.5,13514.5,-0.37%
3/1/2018,13478,13500,13509,13476,-0.29%
4/1/2018,13423.5,13466.5,13481.5,13411.5,-0.40%
5/1/2018,13415.5,13413.5,13435.5,13392.5,-0.06%
8/1/2018,13426.5,13405.5,13426.5,13390.5,0.08%
9/1/2018,13437.5,13429.5,13440.5,13407.5,0.08%
10/1/2018,13436.5,13435.5,13455.5,13427.5,-0.01%
11/1/2018,13399.5,13428.5,13430.5,13399.5,-0.28%
12/1/2018,13353.5,13368.5,13371.5,13353.5,-0.34%
15/01/2018,13334.5,13325.5,13338.5,13315.5,-0.14%
16/01/2018,13337.5,13330.5,13340.5,13325.5,0.02%
17/01/2018,13357.5,13317.5,13362.5,13317.5,0.15%
18/01/2018,13346,13361,13371,13341,-0.09%
19/01/2018,13313.5,13338.5,13343.5,13286.5,-0.24%
22/01/2018,13347.5,13320.5,13350.5,13320.5,0.26%
23/01/2018,13325,13335,13336,13310,-0.17%
24/01/2018,13313.5,13317.5,13330.5,13309.5,-0.09%
25/01/2018,13288.5,13291.5,13296.5,13266.5,-0.19%
26/01/2018,13307,13296,13311,13296,0.14%
29/01/2018,13363.5,13311.5,13363.5,13311.5,0.42%
30/01/2018,13432.5,13382.5,13442.5,13382.5,0.52%
31/01/2018,13388.5,13421.5,13426.5,13376.5,-0.33%
1/2/2018,13427,13387,13432,13387,0.29%
2/2/2018,13451.5,13413.5,13453.5,13413.5,0.18%
5/2/2018,13525,13495,13530,13495,0.55%
6/2/2018,13552.5,13567.5,13607.5,13552.5,0.20%
7/2/2018,13553,13526,13561,13523,0.00%
8/2/2018,13605,13605,13627,13595,0.38%
9/2/2018,13627.5,13642.5,13650.5,13617.5,0.17%
12/2/2018,13657.5,13607.5,13657.5,13597.5,0.22%
13/02/2018,13657.5,13632.5,13657.5,13632.5,0.00%
14/02/2018,13628.5,13647.5,13662.5,13612.5,-0.21%
15/02/2018,13558.5,13591.5,13591.5,13541.5,-0.51%
16/02/2018,13558.5,13558.5,13558.5,13558.5,0.00%
19/02/2018,13560.5,13552.5,13562.5,13532.5,0.01%
20/02/2018,13612.5,13562.5,13615.5,13562.5,0.38%
21/02/2018,13618.5,13575.5,13618.5,13570.5,0.04%
22/02/2018,13682.5,13652.5,13690.5,13652.5,0.47%
23/02/2018,13667.5,13667.5,13684.5,13662.5,-0.11%
26/02/2018,13660,13660,13665,13645,-0.05%
27/02/2018,13675,13652,13685,13650,0.11%
28/02/2018,13745,13705,13755,13705,0.51%
1/3/2018,13747.5,13782.5,13802.5,13742.5,0.02%
2/3/2018,13757.5,13722.5,13762.5,13722.5,0.07%
5/3/2018,13762.5,13737.5,13775.5,13737.5,0.04%
6/3/2018,13775,13750,13785,13745,0.09%
7/3/2018,13766,13754,13776,13754,-0.07%
8/3/2018,13785,13760,13785,13760,0.14%
9/3/2018,13781,13794,13799,13774,-0.03%
12/3/2018,13770,13770,13780,13770,-0.08%
13/03/2018,13750.5,13764.5,13764.5,13749.5,-0.14%
14/03/2018,13736.5,13741.5,13742.5,13726.5,-0.10%
15/03/2018,13747.5,13737.5,13752.5,13737.5,0.08%
16/03/2018,13749,13764,13770,13744,0.01%
19/03/2018,13764.5,13765.5,13765.5,13755.5,0.11%
20/03/2018,13750,13766,13768,13750,-0.11%
21/03/2018,13762.5,13757.5,13766.5,13752.5,0.09%
22/03/2018,13752.5,13727.5,13753.5,13727.5,-0.07%
23/03/2018,13782.5,13762.5,13796.5,13762.5,0.22%
26/03/2018,13740,13780,13785,13740,-0.31%
27/03/2018,13742,13717,13747,13697,0.01%
28/03/2018,13763,13748,13768,13733,0.15%
29/03/2018,13765,13767,13775,13749,0.01%
30/03/2018,13765,13765,13765,13765,0.00%
2/4/2018,13754,13741,13761,13741,-0.08%
3/4/2018,13764.5,13761.5,13767.5,13751.5,0.08%
4/4/2018,13766.5,13763.5,13768.5,13753.5,0.01%
5/4/2018,13766.5,13762.5,13772.5,13762.5,0.00%
6/4/2018,13773.5,13773.5,13783.5,13773.5,0.05%
9/4/2018,13764.5,13764.5,13775.5,13759.5,-0.07%
10/4/2018,13749,13761,13762,13736,-0.11%
11/4/2018,13758.5,13744.5,13761.5,13741.5,0.07%
12/4/2018,13769.5,13755.5,13770.5,13750.5,0.08%
13/04/2018,13752.5,13742.5,13760.5,13740.5,-0.12%
16/04/2018,13774.5,13752.5,13779.5,13752.5,0.16%
17/04/2018,13766,13761,13773,13751,-0.06%
18/04/2018,13774.5,13766.5,13776.5,13766.5,0.06%
19/04/2018,13781,13771,13785,13769,0.05%
20/04/2018,13877.5,13792.5,13877.5,13787.5,0.70%
23/04/2018,13895,13900,13900,13894,0.13%
24/04/2018,13887.5,13897.5,13901.5,13882.5,-0.05%
25/04/2018,13920,13877,13925,13875,0.23%
26/04/2018,13887.5,13912.5,13932.5,13881.5,-0.23%
27/04/2018,13890,13875,13901,13874,0.02%
30/04/2018,13912.5,13862.5,13912.5,13862.5,0.16%
1/5/2018,13912.5,13912.5,13912.5,13912.5,0.00%
2/5/2018,13945,13920,13965,13920,0.23%
3/5/2018,13937.5,13952.5,13975.5,13936.5,-0.05%
4/5/2018,13940,13930,13952,13930,0.02%
7/5/2018,14000,13940,14005,13940,0.43%
8/5/2018,14050,14000,14055,14000,0.36%
9/5/2018,14080,14060,14090,14060,0.21%
10/5/2018,14080,14080,14080,14080,0.00%
11/5/2018,13950,14075,14075,13950,-0.92%
14/05/2018,13970,13955,13990,13945,0.14%
